date,group,home,away,home_goals,away_goals,notes
2026-06-11,A,Mexico,South Africa,2,0,Verified: Mexico 2-0 South Africa; two South Africa reds and one Mexico red are captured by adjustment layer.
2026-06-11,A,Korea Republic,Czech Republic,2,1,Verified: Korea Republic 2-1 Czech Republic.
