simulation,finalist_1,finalist_2,champion
235,Spain,Argentina,Argentina
236,Netherlands,Brazil,Brazil
237,France,Uruguay,France
238,Uruguay,England,England
239,France,Argentina,Argentina
240,France,Argentina,France
241,Spain,England,England
242,Belgium,Argentina,Argentina
243,Germany,Argentina,Germany
244,Spain,Argentina,Argentina
245,Croatia,Argentina,Argentina
246,France,Argentina,Argentina
247,France,Argentina,Argentina
248,Belgium,Argentina,Argentina
249,Germany,Argentina,Argentina
250,France,England,France
251,France,Argentina,France
252,Belgium,Portugal,Portugal
253,Belgium,Argentina,Argentina
254,France,Argentina,France
255,France,Colombia,France
256,France,Argentina,Argentina
257,France,Argentina,Argentina
258,France,Spain,France
259,France,Argentina,France
260,Spain,Argentina,Argentina
261,France,Argentina,Argentina
262,Spain,Argentina,Spain
263,France,Argentina,Argentina
264,France,Argentina,France
265,Spain,Argentina,Argentina
266,France,Morocco,France
267,France,England,France
268,France,Argentina,Argentina
269,France,Argentina,France
270,France,Argentina,France
271,Spain,Argentina,Argentina
272,France,Argentina,France
273,France,Argentina,Argentina
274,France,Argentina,France
275,France,Portugal,Portugal
276,France,Argentina,Argentina
277,Brazil,Argentina,Argentina
278,France,Argentina,France
279,France,England,France
280,Spain,Argentina,Argentina
281,Spain,Argentina,Argentina
282,Belgium,Argentina,Argentina
283,Spain,Argentina,Argentina
284,France,Argentina,France
285,France,Portugal,Portugal
286,France,Morocco,France
287,France,Argentina,France
288,France,Argentina,France
289,Morocco,England,Morocco
290,France,Brazil,France
291,Spain,Argentina,Spain
292,Spain,Argentina,Argentina
293,France,England,France
294,France,Argentina,France
295,France,Portugal,France
296,France,Portugal,France
297,France,Croatia,France
298,France,Argentina,France
299,Belgium,Morocco,Morocco
300,Spain,Argentina,Argentina
301,Netherlands,England,Netherlands
302,Spain,Portugal,Spain
303,Morocco,Brazil,Brazil
304,France,Argentina,France
305,Germany,Brazil,Brazil
306,Netherlands,Argentina,Argentina
307,France,Argentina,France
308,France,England,France
309,France,United States,France
310,France,Portugal,France
311,France,Argentina,France
312,Brazil,Argentina,Argentina
313,France,Argentina,France
314,Brazil,Argentina,Argentina
315,France,Brazil,France
316,Spain,Argentina,Argentina
317,France,Argentina,France
318,France,Brazil,France
319,England,Brazil,Brazil
320,France,Argentina,Argentina
321,France,Switzerland,France
322,France,Argentina,Argentina
323,Spain,Argentina,Argentina
324,Uruguay,Argentina,Argentina
325,France,Argentina,Argentina
326,Spain,Morocco,Spain
327,France,Argentina,France
328,France,Argentina,France
329,Germany,Argentina,Argentina
330,Spain,England,England
331,Belgium,Argentina,Argentina
332,France,Argentina,Argentina
333,France,Argentina,Argentina
334,Portugal,Argentina,Argentina
335,Belgium,England,Belgium
336,Spain,Brazil,Spain
337,France,England,France
338,Germany,Argentina,Argentina
339,Spain,Argentina,Spain
340,France,England,France
341,France,Portugal,France
342,Argentina,Brazil,Argentina
343,France,Argentina,France
344,Spain,England,Spain
345,France,Argentina,Argentina
346,England,Portugal,Portugal
347,Netherlands,Argentina,Argentina
348,Belgium,England,England
349,England,Spain,Spain
350,Spain,Argentina,Argentina
351,Spain,Argentina,Argentina
352,Belgium,Argentina,Argentina
353,Spain,Argentina,Spain
354,Spain,Portugal,Portugal
355,France,Netherlands,France
356,Spain,Argentina,Argentina
357,France,Argentina,France
358,France,Argentina,Argentina
359,France,Argentina,Argentina
360,France,Argentina,France
361,France,Argentina,France
362,Spain,England,England
363,France,Argentina,Argentina
364,Spain,Argentina,Argentina
365,France,Portugal,France
366,France,Argentina,France
367,France,Portugal,France
368,Spain,Argentina,Argentina
369,France,Brazil,Brazil
370,Germany,Argentina,Argentina
371,France,Argentina,Argentina
372,France,Argentina,France
373,France,Brazil,France
374,France,England,France
375,Netherlands,Uruguay,Netherlands
376,Brazil,Argentina,Argentina
377,Brazil,Uruguay,Brazil
378,Netherlands,Argentina,Argentina
379,Belgium,Argentina,Argentina
380,France,Argentina,Argentina
381,Belgium,Argentina,Argentina
382,France,England,France
383,Spain,England,Spain
384,Germany,Argentina,Argentina
385,Spain,Portugal,Portugal
386,France,Argentina,France
387,Spain,Argentina,Argentina
388,Germany,Argentina,Argentina
389,France,Spain,France
390,France,Argentina,Argentina
391,France,Croatia,France
392,Spain,Argentina,Spain
393,Spain,Switzerland,Spain
394,Morocco,Brazil,Brazil
395,France,Mexico,France
396,France,Argentina,Argentina
397,Brazil,England,England
398,France,Portugal,France
399,France,Argentina,France
400,France,Argentina,Argentina
401,France,Brazil,France
402,Spain,England,England
403,Croatia,Argentina,Croatia
404,France,Argentina,Argentina
405,Spain,England,England
406,France,Argentina,France
407,Belgium,Argentina,Argentina
408,France,Argentina,France
409,France,England,France
410,France,Portugal,France
411,France,Brazil,France
412,Brazil,England,England
413,Spain,Argentina,Argentina
414,France,Argentina,France
415,Spain,Argentina,Spain
416,France,Argentina,Argentina
417,France,Spain,France
418,England,Argentina,England
419,France,Argentina,Argentina
420,Spain,Argentina,Argentina
421,France,Argentina,Argentina
422,France,Brazil,France
423,France,England,France
424,Brazil,England,Brazil
425,France,Argentina,Argentina
426,France,Argentina,France
427,Spain,Argentina,Argentina
428,Spain,Argentina,Spain
429,France,England,England
430,France,Argentina,Argentina
431,Uruguay,Portugal,Portugal
432,France,England,France
433,France,Argentina,Argentina
434,France,Argentina,France
435,France,Argentina,Argentina
436,Spain,Argentina,Argentina
437,Germany,Argentina,Argentina
438,Belgium,Argentina,Argentina
439,France,Argentina,France
440,Spain,Argentina,Argentina
441,France,England,France
442,France,England,England
443,France,Argentina,Argentina
444,France,England,France
445,Spain,Argentina,Argentina
446,France,Argentina,France
447,Spain,Brazil,Spain
448,France,Argentina,Argentina
449,France,Morocco,France
450,France,Argentina,Argentina
451,Croatia,Brazil,Croatia
452,France,Argentina,France
453,France,Brazil,France
454,France,Argentina,France
455,Brazil,Argentina,Brazil
456,France,Argentina,France
457,France,Argentina,France
458,France,Argentina,Argentina
459,Spain,Argentina,Spain
460,France,Portugal,France
461,France,Morocco,France
462,France,Argentina,Argentina
463,France,England,France
464,France,Croatia,France
465,France,Morocco,France
466,Spain,Argentina,Argentina
467,France,England,France
468,Spain,Brazil,Spain
469,Spain,Argentina,Spain
470,Morocco,Brazil,Morocco
471,Spain,England,England
472,France,Uruguay,France
473,France,Portugal,France
474,Spain,Argentina,Spain
475,France,Brazil,Brazil
476,England,Portugal,England
477,France,Argentina,France
478,France,Argentina,France
479,Germany,Argentina,Argentina
480,France,Argentina,France
481,France,England,France
482,Spain,Argentina,Argentina
483,France,Brazil,Brazil
484,France,Argentina,Argentina
485,Portugal,Brazil,Brazil
486,France,England,France
487,Croatia,Argentina,Argentina
488,Brazil,Argentina,Argentina
489,France,Argentina,France
490,France,Belgium,France
491,France,Argentina,Argentina
492,France,England,France
493,France,Brazil,France
494,England,Argentina,Argentina
495,Argentina,Brazil,Argentina
496,France,Argentina,France
497,France,Morocco,France
498,Spain,Argentina,Argentina
499,Germany,Brazil,Brazil
500,France,Argentina,Argentina
501,France,Argentina,France
502,Belgium,Argentina,Belgium
503,Spain,Argentina,Argentina
504,France,Argentina,Argentina
505,Spain,England,England
506,France,Argentina,Argentina
507,France,Croatia,France
508,Spain,Portugal,Portugal
509,Germany,Brazil,Brazil
510,Germany,Argentina,Argentina
511,France,England,England
512,France,Argentina,France
513,Belgium,England,England
514,France,Argentina,Argentina
515,France,Netherlands,France
516,Spain,Argentina,Argentina
517,Spain,Argentina,Argentina
518,Spain,Portugal,Portugal
519,Belgium,Argentina,Argentina
520,England,Brazil,England
521,France,Argentina,Argentina
522,France,England,France
523,France,Argentina,Argentina
524,Brazil,Argentina,Argentina
525,Croatia,England,Croatia
526,France,England,England
527,France,England,England
528,France,Brazil,Brazil
529,Spain,England,Spain
530,France,Belgium,France
531,France,Argentina,France
532,Germany,Argentina,Argentina
533,Belgium,Argentina,Argentina
534,Morocco,England,Morocco
535,France,Argentina,France
536,Morocco,Brazil,Brazil
537,France,Brazil,France
538,France,Argentina,France
539,France,England,France
540,Spain,Argentina,Argentina
541,France,Germany,France
542,Morocco,Argentina,Morocco
543,France,Argentina,Argentina
544,Spain,Argentina,Argentina
545,France,Brazil,France
546,France,Argentina,France
547,Spain,Brazil,Spain
548,France,Argentina,France
549,Belgium,Argentina,Argentina
550,France,Argentina,Argentina
551,Germany,Argentina,Argentina
552,Belgium,Argentina,Argentina
553,Belgium,France,France
554,United States,Argentina,Argentina
555,France,England,France
556,France,Switzerland,France
557,France,Argentina,France
558,France,Argentina,France
559,Spain,Argentina,Argentina
560,Netherlands,Argentina,Argentina
561,France,Netherlands,France
562,Spain,Argentina,Argentina
563,France,Argentina,Argentina
564,Argentina,Portugal,Argentina
565,France,Argentina,France
566,France,Argentina,Argentina
567,France,Argentina,Argentina
568,Spain,Argentina,Spain
569,France,Argentina,Argentina
570,Spain,Argentina,Spain
571,France,Brazil,France
572,Brazil,Spain,Spain
573,Croatia,Argentina,Argentina
574,France,Argentina,Argentina
575,Belgium,Argentina,Argentina
576,Spain,Portugal,Spain
577,Uruguay,England,England
578,Netherlands,Uruguay,Netherlands
579,France,England,France
580,France,Portugal,France
581,France,England,France
582,France,Argentina,Argentina
583,Netherlands,Argentina,Argentina
584,Morocco,Brazil,Brazil
585,France,Argentina,Argentina
586,Spain,Argentina,Spain
587,Spain,Argentina,Argentina
588,Spain,Uruguay,Spain
589,Spain,Argentina,Argentina
590,France,Brazil,France
591,Spain,Argentina,Spain
592,Spain,Argentina,Argentina
593,France,Argentina,France
594,Belgium,Argentina,Argentina
595,Belgium,Argentina,Argentina
596,France,Argentina,Argentina
597,France,Argentina,France
598,England,Argentina,Argentina
599,England,Canada,England
600,England,Argentina,England
601,France,Argentina,Argentina
602,Spain,Argentina,Spain
603,France,Argentina,France
604,Spain,England,England
605,Belgium,England,England
606,France,Argentina,France
607,Belgium,England,Belgium
608,France,Argentina,France
609,Spain,Argentina,Spain
610,Portugal,Argentina,Portugal
611,France,England,France
612,Croatia,Belgium,Croatia
613,France,Argentina,Argentina
614,France,Argentina,France
615,England,Croatia,England
616,Spain,Argentina,Spain
617,Morocco,Argentina,Argentina
618,Spain,Argentina,Argentina
619,France,Morocco,France
620,Spain,Brazil,Brazil
621,Germany,Argentina,Argentina
622,France,Brazil,France
623,France,Portugal,France
624,France,Croatia,France
625,Brazil,Argentina,Argentina
626,Germany,Portugal,Portugal
627,France,England,France
628,France,Argentina,France
629,Spain,Portugal,Spain
630,France,Portugal,France
631,France,England,France
632,Netherlands,England,Netherlands
633,Spain,England,Spain
634,Spain,Croatia,Spain
635,Spain,Brazil,Brazil
636,France,Argentina,Argentina
637,Spain,Argentina,Argentina
638,France,Argentina,France
639,Spain,Argentina,Argentina
640,Spain,Argentina,Spain
641,France,Argentina,France
642,France,Argentina,Argentina
643,France,England,France
644,Belgium,Spain,Belgium
645,England,Argentina,Argentina
646,France,England,France
647,Argentina,Brazil,Argentina
648,Morocco,Argentina,Argentina
649,France,Brazil,France
650,Spain,Switzerland,Spain
651,Spain,Argentina,Argentina
652,France,Portugal,France
653,Belgium,Argentina,Belgium
654,Spain,Argentina,Argentina
655,Netherlands,England,England
656,France,Argentina,Argentina
657,France,Argentina,Argentina
658,Brazil,Argentina,Brazil
659,Croatia,Argentina,Argentina
660,Brazil,France,France
661,France,Morocco,France
662,France,Argentina,Argentina
663,Spain,Portugal,Spain
664,Spain,Argentina,Spain
665,France,Uruguay,France
666,England,Argentina,Argentina
667,France,England,England
668,France,Argentina,Argentina
669,England,Brazil,Brazil
670,France,Argentina,France
671,France,Morocco,Morocco
672,Spain,Argentina,Spain
673,Spain,England,England
674,Spain,Argentina,Argentina
675,France,Brazil,France
676,Netherlands,Argentina,Argentina
677,France,Brazil,France
678,France,Morocco,France
679,Argentina,Portugal,Argentina
680,France,Argentina,Argentina
681,France,Argentina,Argentina
682,Netherlands,Mexico,Netherlands
683,France,England,France
684,Germany,Argentina,Argentina
685,France,Brazil,Brazil
686,France,Argentina,France
687,Spain,Argentina,Argentina
688,Spain,Portugal,Portugal
689,France,Argentina,France
690,Spain,Uruguay,Spain
691,Germany,Portugal,Germany
692,Netherlands,Argentina,Argentina
693,France,Argentina,France
694,France,Argentina,France
695,Belgium,England,England
696,France,Argentina,Argentina
697,Spain,Argentina,Argentina
698,France,Brazil,France
699,France,England,France
700,France,Argentina,Argentina
701,France,Argentina,Argentina
702,Morocco,England,England
703,United States,England,United States
704,France,Argentina,France
705,France,Argentina,Argentina
706,France,Argentina,Argentina
707,France,Brazil,Brazil
708,Spain,Netherlands,Spain
709,France,Argentina,Argentina
710,France,Argentina,France
711,France,Argentina,France
712,France,England,England
713,France,Argentina,Argentina
714,Spain,Argentina,Argentina
715,France,England,France
716,Croatia,Brazil,Brazil
717,France,Croatia,France
718,France,Portugal,Portugal
719,France,Brazil,France
720,France,Brazil,France
721,France,Argentina,France
722,Belgium,England,Belgium
723,Croatia,Argentina,Argentina
724,France,Morocco,France
725,France,Argentina,France
726,Spain,Argentina,Argentina
727,France,Argentina,Argentina
728,England,Argentina,Argentina
729,Croatia,Argentina,Argentina
730,Spain,Argentina,Argentina
731,France,Argentina,France
732,France,Argentina,Argentina
733,Spain,Croatia,Croatia
734,France,Argentina,France
735,France,England,France
736,France,Argentina,France
737,Spain,Argentina,Argentina
738,Morocco,Argentina,Morocco
739,Belgium,Spain,Belgium
740,France,Argentina,France
741,Netherlands,Argentina,Argentina
742,France,Argentina,France
743,France,Argentina,Argentina
744,France,Argentina,France
745,Belgium,Netherlands,Belgium
746,France,Argentina,Argentina
747,France,England,France
748,Spain,Argentina,Spain
749,France,Brazil,Brazil
750,France,Argentina,Argentina
751,France,Argentina,France
752,France,Argentina,Argentina
753,France,Argentina,France
754,France,Croatia,Croatia
755,France,England,France
756,France,Argentina,France
757,Spain,Brazil,Brazil
758,France,Argentina,Argentina
759,Spain,Argentina,Spain
760,France,Argentina,Argentina
761,France,Argentina,France
762,France,Argentina,Argentina
763,France,Argentina,Argentina
764,France,Morocco,France
765,France,Argentina,Argentina
766,France,England,France
767,France,Argentina,France
768,France,Argentina,France
769,Spain,Argentina,Argentina
770,France,Mexico,France
771,England,Argentina,Argentina
772,France,Argentina,France
773,Spain,Uruguay,Spain
774,Croatia,England,Croatia
