,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_team,0.039,0.021,0.009,0.079,0.003,0.002,38.0,63.0,1.02
global_log_goal_rate,0.238,0.143,-0.01,0.523,0.003,0.005,1999.0,888.0,1.01
host_advantage,0.069,0.041,-0.006,0.143,0.001,0.001,2339.0,723.0,1.01
